agreeable,dispicable
dejected,elated
confident,petrified
beautiful,hideous
revolting,stunning
apprehensive,certain
bustling,peaceful
timid,valiant
delightful,obnoxious
gargantuan,miniscule
overjoyed,heartbroken
summer,winter
smooth,bumpy
bendy,inflexible
honest,deceiving
double,single
steep,level
gloomy,optimistic
grin,scowl
fresh,putrid
greedy,generous
luxurious,frugal
malignant,healthy
destitute,prosperous
tame,fierce
careless,scrupulous
soothed,enraged
dawn,dusk
mysterious,candid
energetic,weary
vague,explicit
cowardly,heroic
ruined,renovated
chaotic,organised
unknown,familiar
precious,insignificant
shabby,pristine
irritate,placate
serious,absurd
uncaring,compassionate
seize,release
cooperative,unhelpful
love,despise
appreciate,dismiss
obedient,unruly
trivial,essential
vigorous,lethargic
barren,abundant
humble,arrogant
formal,casual
hostile,amiable
loathe,appreciate
meagre,extravagant
capable,inept
slapdash,diligent
exciting,monotonous
optimist,pessimist
drench,absorb
disagree,concur
tranquil,distraught
whisper,bellow
noteworthy,unimportant
impede,help
frugal,lavish
unscathed,wounded
melancholy,happy
conventional,quirky
ordinary,bizarre
resilient,fragile
separate,combine
break,repair
seek,evade
infamous,unknown
alert,unaware
certain,probable
genuine,fake
corrupt,honest
pollute,cleanse
lush,sparse
savage,docile
knowledgeable,ignorant
stupid,clever
relaxed,tense
taut,slack
confine,release
spicy,bland
dull,flamboyant
drench,parch
agitated,serene
sickly,vigorous
appropriate,donate
happy,morose
sequential,random
inspirational,discouraging
soil,wash
fill,drain
negative,positive
disappointed,satisfied
soars,plummets
finished,started
undermines,encourages
fair,unequal
confuse,clarify
apprehended,released
unlikely,plausible
rebuke,commend
ordinary,exceptional
ultimate,initial
inept,proficient
unnecessary,crucial
confusion,clarification
inflexible,agile
conventional,unique
uninterested,avid
repugnant,exquisite
deserted,crowded
fearless,nervous
boiling,icy
irrational,logical
knowledge,ignorance
wet,arid
absorb,soak
ascends,dives
descended,rose
raced,sauntered
impatient,tolerant
bright,bleak
opulent,shabby
hidden,conspicuous
talkative,taciturn
subterranean,overhead
disastrous,successful
calm,apprehensive
exciting,tedious
prompt,overdue
denial,confirmation
diminished,enlarged
minute,enormous
gregarious,solitary
forgiving,vindictive
clear,vague
push,drag
pallid,flushed
pause,continue
slow,speedy
sink,swim
blowing,sucking
generous,miserly
simple,complicated
voluntary,compulsory
remember,forget
live,perish
accord,disagreement
blossom,wither
contract,stretch
valley,mountain
bright,dull
join,leave
stationary,moving
mobile,static
constant,intermittent
praise,condemn
acknowledges,denies
prominent,obscure
anonymous,famous
fraction,whole
active,passive
transparent,opaque
discouraging,audacious
plural,singular
ignores,acknowledges
endures,quits
fresh,stale
popular,despised
loved,hated
tropical,polar
floating,sinking
construct,demolish
precise,ambiguous
unusual,common
boring,engrossing
wavy,straight
flexible,rigid
complete,partial
unlucky,fortunate
variable,constant
profit,loss
polite,vulgar
dilemma,solution
peril,safety
pale,radiant
fact,myth
conceal,reveal
impartial,biased
colourless,vivid
keep,abandon
above,below
lazy,ambitious
soothe,provoke
wonderful,atrocious
believe,doubt
top,bottom
capture,release
plump,skinny
clarify,confuse
close,far
intricate,simple
discontinue,persevere
conceal,expose
add,subtract
dormant,active
enough,insufficient
flimsy,sturdy
former,latter
past,future
tiny,colossal
filthy,immaculate
compulsory,optional
intolerant,understanding
lament,rejoice
tight,loose
temporary,permanent
premature,delayed
reputable,untrustworthy
marvellous,mediocre
freeze,thaw
base,apex
lose,triumph
wicked,righteous
discord,harmony
blunt,sharp
liberty,captivity
confirm,contradict
disguise,reveal
open,covert
expand,compress
gather,disperse
greed,generosity
skilled,incompetent
jovial,morose
loiter,hasten
goodwill,malice
expert,novice
auspicious,ominous
cajole,dissuade
exacerbate,reduce
superficial,profound
wicked,virtuous
crooked,straight
accept,refuse
acceptable,intolerable
accurate,inexact
aromatic,obnoxious
arrival,departure
blunt,sharp
callous,kind
peripheral,central
cheap,expensive
communal,private
deliberate,accidental
deplete,replenish
descendant,ancestor
distant,close
east,west
easy,arduous
ebb,flow
entice,repel
entrance,exit
fable,fact
favouritism,impartiality
fix,break
flippant,respectful
for,against
frequent,seldom
fresh,stale
friend,foe
generous,miserly
gifted,incompetent
harm,protect
harmony,discord
keen,reluctant
laugh,cry
lawful,illegal
lead,follow
left,right
strict,lenient
luck,misfortune
luminous,dark
masculine,feminine
mature,juvenile
minimum,maximum
melt,freeze
arid,moist
synthetic,natural
always,never
expert,novice
vacant,occupied
patient,intolerant
war,peace
temporary,permanent
parallel,perpendicular
wealth,poverty
following,preceding
problem,solution
loss,profit
prolong,shorten
relieve,aggravate
rebuke,compliment
provoke,pacify
deep,shallow
plural,singular
stable,volatile
fail,succeed
wordy,succinct
talkative,taciturn
student,teacher
proven,theoretical
thrifty,extravagant
comedy,tragedy
opaque,transparent
wholesome,unhealthy
cultured,unrefined
hero,villain
vindictive,forgiving
vowel,consonant
wax,wane
work,rest
tame,wild
folly,wisdom
best,worst
lend,borrow
apex,base
veto,permit
cajole,discourage
bend,straighten
serene,frenzied
united,separate
calm,turbulent
culprit,victim
rural,urban
appear,vanish
inattentive,vigilant
doubtful,certain
innocuous,harmful
defend,attack
proceed,retreat
confuse,clarify
beautiful,grotesque
variable,constant
tall,short
confirm,deny
similar,different
concur,disagree
fake,genuine
smooth,coarse
level,uneven
assist,hinder
mild,severe
effective,futile
acceptable,inappropriate
devious,honest
